Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040020-Castelló CEIP La Marina
	
FECHA	PM2.5	PM1	C8H10	NH3	H2S	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	C7H8	C6H6	SO2	NO	NO2	PM10	NOx	O3	Veloc.máx.
	µg/m³	µg/m³	µg/m³	µg/m³N	µg/m³N	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s
30/10/2023	2	1	0	4	4	2,7	222	19	57	1004	128	0	1,2	0	6	4	14	5	19	46	9,6
31/10/2023	2	1	0,1	1	5	0,9	133	16,5	52	1014	83	0	0,8	0,1	17	8	31	7	43	29	3,7
01/11/2023	2	1	0,1	3	3	3,6	210	18,7	53	1010	107	0	0,8	0	18	3	18	4	22	40	12,3
02/11/2023	1	1	0	4	3	6,9	233	21,5	46	999	127	0,4	0,3	0	2	1	4	5	5	64	24,2
03/11/2023	1	1	0	1	3	4,4	246	17,3	41	1002	137	0	0,2	0	3	1	6	3	8	57	16,6
04/11/2023	1	1	0	3	4	5,2	216	19,4	53	998	118	0	0,4	0	12	2	11	3	13	52	18,1
05/11/2023	1	1	0	1	3	3,7	236	18	41	1006	154	0	0,2	0	12	1	7	3	8	57	12,4
06/11/2023	2	1	0	0	2	1,4	328	14,9	57	1014	150	0	0,5	0,1	13			5		40	5,2
07/11/2023	2	1	0	0	3	1,3	278	13,4	58	1020	148	0	0,4	0	22			6		35	5,3
08/11/2023	3	2	0,1	0	5	0,8	210	12	65	1021	99	0	1,2	0,2	22			8		19	3,2
09/11/2023	3	2	0,1	1	4	1	344	14,8	68	1014	142	0	1,3	0,1	18			6		25	4,3
10/11/2023	3	2	0,1	0	3	1,1	245	16,2	66	1013	138	0	1,6	0,2	15			8		27	4,2
11/11/2023	2	1	0	0	3	2,6	229	17,9	65	1011	109	0	0,6	0	16	3	16	3	21	42	9,1
12/11/2023	2	1	0,1	1	4	1,5	204	20,1	60	1015	114	0	1	0,1	11	3	13	5	16	38	5,8
13/11/2023	3	2	0,2	0	4	0,9	7	17,9	67	1019	109	0	1,1	0,1	12			10		21	3,3
14/11/2023	4	3	0,3	0	5	0,7	350	16,9	71	1019	129	0	2,8	0,2	11			12		14	3,1
15/11/2023	3	2	0,2	0	5	0,7	255	17,1	71	1021	129	0	1,8	0,1	15			8		16	3,1
16/11/2023	5	3	0,2	0	4	0,8	178	15,5	83	1019	115	0	1,5	0,1	10			11		15	3
17/11/2023	3	2	0,4	5	6	0,8	61	16,9	78	1021	124	0	2,7	0,2	12			7		21	3,3
18/11/2023												0									
20/11/2023												0									
21/11/2023	2	2	0	4	1	1,5	263	16,6	49	1014	123	0	0,4	0	2	4	15	5	21	45	8,2
22/11/2023	1	1	0	2	1	1,8	284	17	37	1015	125	0	0	0	1	1	3	3	5	61	9,6
23/11/2023	3	2	0,1	3	3	1,2	248	12,3	49	1020	124	0	1,1	0,2	8	15	30	9	52	32	4,5
24/11/2023	5	3	0,3	6	6	1	228	12,1	54	1012	122	0	2,4	0,4	25	23	54	14	89	19	3,7
25/11/2023	5	3	0,2	7	5	0,9		13,2	69	1012	112	0	1,5	0,4	6	13	30	9	49	26	3,9
26/11/2023	4	3	0,1	6	5	0,7		11,5	86	1014	102	0	1	0,2	6	12	28	8	45	20	2,8
27/11/2023	7	5	0,2	7	4	0,8		11,9	83	1010	98	0	1,8	0,3	7	28	40	13	82	14	3,5
28/11/2023	5	3	0,3	8	3	0,8	249	16,3	61	1007	40	0	2	0,4	13	12	48	11	66	17	3,6
29/11/2023	3	2	0,1	9	5	1,2	133	15,8	75	1004	98	0	1,8	0,2	8	13	36	6	55	24	4,8
30/11/2023	1	1	0,1	9	4	4,4	176	20,1	61	1000	48	0	1,2	0,1	26	3	27	6	31	42	15,8
01/12/2023	1	1	0,1	4	3	4,6	218	18,5	48	997	58	0,2	0,6	0,1	8	2	13	3	14	56	15,1
02/12/2023	2	1	0	2	3	1,6	268	13,5	47	1011	109	0	0,4	0,1	9	3	12	3	16	49	6
03/12/2023	3	2	0	4	2	1,1	269	10,4	60	1019	112	0	0,6	0,2	13	5	24	5	31	30	4,1
04/12/2023	4	3	0,1	8	3	1	281	11,4	68	1013	58	1	0,8	0,2	20	10	37	7	53	21	4,1
05/12/2023	3	2	0,1	5	2	1	261	11,4	61	1015	102	0	1,1	0,2	7	13	33	6	54	30	4,3
06/12/2023	3	3	0	7	3	0,7	234	11,2	74	1015	95	0	0,7	0,2	9	6	32	5	41	24	2,8
07/12/2023	5	4	0	8	4	0,9	213	11,6	82	1016	89	3,8	0,5	0,1	12	9	34	9	47	21	3,6
08/12/2023	2	2	0	5	1	1,5	261	15,3	58	1013	74	0,2	0,1	0	7	2	16	3	18	45	7,3
09/12/2023	3	2	0	6	3	1	219	14,3	60	1019	92	0	0,6	0,2	22	5	29	6	37	33	4
10/12/2023	3	2	0,1	7	4	0,7	94	16	75	1020	88	0	0,7	0,2	12	7	23	5	33	28	3,1
11/12/2023	5	4	0,3	9	3	0,5	47	13,4	85	1017	93	0	2,9	0,4	7	37	38	10	95	10	2,3
12/12/2023	5	4	0,3	11	5	0,9	51	14,3	77	1013	30	0	3,3	0,3	7	31	45	12	93	12	3,9
13/12/2023	2	2	0,3	7	2	1,1	263	14,2	58	1011	29	0	0,8	0,1	8	8	39	6	52	23	4,8
14/12/2023	1	1	0	3	2	2	287	15,5	38	1020	105	0	0,3	0,1	3	1	6	4	7	56	10,5
15/12/2023	3	2	0,1	4	4	1,2	273	13,4	58	1031	104	0	0,9	0,1	7	10	32	9	47	35	5,1
16/12/2023	3	2	0,1	5	4	0,8	58	10,1	67	1035	104	0	0,7	0,2	14	8	35	5	47	26	3,1
17/12/2023	4	3	0	5	3	0,9	50	9,2	78	1036	102	0	0,5	0,2	5	3	21	6	25	29	3,3
18/12/2023	4	4	0,2	5	4	0,9	96	8,1	78	1034	103	0	1,3	0,3	10	21	33	8	66	23	2,9
19/12/2023	7	5	0,3	6	5	0,7	287	8,9	68	1027	103	0	2	0,5	9	31	49	16	97	15	2,8
20/12/2023	4	3	0,2	6	3	1,8	319	11,9	56	1020	49	0	1,7	0,2	3	13	22	10	42	39	9,9
21/12/2023	2	1	0,1	4	2	1,7	241	15,4	50	1022	102	0	0,7	0,1	4	5	22	7	30	46	7,2
22/12/2023	2	1	0	5	3	1,5	262	15,8	49	1021	103	0	0,8	0	6	2	16	6	18	50	6,7
23/12/2023	3	2	0	4	3	1	228	11,8	61	1023	103	0	0,4	0,1	5	4	18	4	24	41	4,1
24/12/2023	4	4	0	5	3	0,7	336	9,3	76	1022	102	0	0,6	0,2	4	5	18	6	26	32	2,7
25/12/2023	5	4	0	7	3	0,7	186	8,5	83	1020	102	0	0,9	0,3	2	6	18	6	26	26	2,7
26/12/2023	5	5	0,2	7	5	0,5	192	8,5	77	1021	105	0	1,4	0,4	4	16	21	7	45	23	2,3
27/12/2023	6	5	0,1	7	4	0,7	170	8,4	72	1022	105	0	1	0,3	3	10	24	9	39	24	2,8
28/12/2023	7	6	0,2	8	4	0,6	24	8,7	85	1023	62	0	1,3	0,4	3	11	29	9	46	24	2,6
29/12/2023	9	8	0,1	11	3	0,5	357	9,9	86	1020	46	0	1,5	0,3	2	13	34	12	54	18	2,5
30/12/2023	8	7	0,2	10	4	0,6	316	10,4	79	1018	98	0	2	0,5	1	9	32	10	45	22	2,5
31/12/2023	6	6	0,1	8	3	1,6	242	11,3	68	1014	33	0	0,8	0,4	2	3	24	8	29	31	5,7
