Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040016-Castelló - ITC
	
FECHA	PM2.5
	µg/m³
23/11/2023	17
24/11/2023	26
25/11/2023	16
26/11/2023	12
28/11/2023	17
29/11/2023	18
30/11/2023	15
01/12/2023	11
02/12/2023	9
03/12/2023	10
04/12/2023	18
05/12/2023	12
06/12/2023	14
07/12/2023	21
08/12/2023	10
09/12/2023	13
13/12/2023	12
14/12/2023	7
15/12/2023	10
16/12/2023	10
17/12/2023	10
18/12/2023	16
19/12/2023	21
20/12/2023	12
21/12/2023	10
22/12/2023	10
24/12/2023	10
25/12/2023	17
26/12/2023	17
27/12/2023	19
28/12/2023	19
29/12/2023	26
30/12/2023	23
31/12/2023	14
