Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 12040301-Castelló AP Tramuntana
	
FECHA	PM2.5	Veloc.	Direc.	PM10	Veloc.máx.
	µg/m³	m/s	grados	µg/m³	m/s
30/05/2023	12	1,9	181	18	3,8
31/05/2023	17	1,7	157	25	3,3
01/06/2023	18	2	6	35	4,9
02/06/2023	14	2,1	159	18	4
03/06/2023	13	1,8	112	15	3,6
04/06/2023	9	1,6	218	10	3,1
05/06/2023	10	2,3	187	12	4,1
06/06/2023	6	1,9	169	9	3,6
07/06/2023	9	1,2	187	12	2,4
08/06/2023	12	1,7	100	17	3,3
09/06/2023	12	3,7	199	19	7,2
10/06/2023		1,7	96		3,4
11/06/2023		2	40		4,3
12/06/2023		1,8	153		3,7
13/06/2023		2,1	217		4,7
14/06/2023		2,2	203		4,1
15/06/2023		1,9	148		3,8
16/06/2023		2	85		4,1
17/06/2023	10	1,6	64	15	3,3
18/06/2023	11	1	334	16	2,5
19/06/2023	15	2,1	352	33	5,8
20/06/2023	19	2	75	32	4,1
21/06/2023	20	2,5	31	38	5,8
22/06/2023	7	1,6	145	14	3,4
23/06/2023	7	2,4	175	15	4,8
24/06/2023	8	1,7	158	13	3,4
25/06/2023	9	1,9	77	12	4
26/06/2023	9	2,3	60	19	5,1
27/06/2023	8	2,3	30	13	5,1
28/06/2023	10	2	29	14	4,2
29/06/2023	11	2,3	39	14	4,7
30/06/2023	6	2,8	24	15	6
01/07/2023	7	2,1	201	11	4,2
02/07/2023	8	2,3	163	13	4,4
03/07/2023	9	1,9	79	15	4,4
04/07/2023	8	1,9	68	13	4,2
05/07/2023	7	2,2	8	10	5,3
06/07/2023	7	2,3	37	11	4,7
07/07/2023	8	2,4	26	13	5,8
08/07/2023	12	1,8	66	17	3,6
09/07/2023	13	1,8	64	18	3,6
10/07/2023	15	2,3	54	23	5,1
11/07/2023	20	2,3	134	32	5
12/07/2023	18	2,7	42	28	6,5
13/07/2023	12	2,4	78	21	4,8
14/07/2023	10	2,4	166	15	4,7
15/07/2023	14	2,2	77	21	4,6
16/07/2023	12	2,8	40	20	6,7
17/07/2023	12	2,2	59	19	4,6
18/07/2023	17	1,8	160	23	3,5
19/07/2023	16	2,3	59	24	4,7
20/07/2023	14	2,4	42	20	5,9
21/07/2023	11	2,7	29	21	5,8
22/07/2023	9	3,1	38	14	7,2
23/07/2023	13	2,1	136	19	4,2
24/07/2023	15	2,3	44	22	5,3
25/07/2023	5	2,5	46	13	5,2
26/07/2023	5	2,2	175	11	4,2
27/07/2023	8	2,9	193	12	5,1
28/07/2023	9	2,4	69	14	4,6
29/07/2023	8	1,9	92	11	3,5
30/07/2023	7	2,3	42	10	4,9
31/07/2023	9	1,8	171	13	3,7
01/08/2023	11	2,1	97	16	4,1
02/08/2023	13	2,2	52	18	5
03/08/2023	9	3,4	46	28	7,7
04/08/2023	3	4,2	300	8	9,6
05/08/2023	3	2,5	217	6	4,9
06/08/2023	4	2,2	201	7	4,5
07/08/2023	7	3,6	119	14	6,6
08/08/2023	8	3,9	179	11	6,7
09/08/2023	7	2	201	11	4
10/08/2023	9	2,9	67	16	6,8
11/08/2023	10	2	93	15	4
12/08/2023	11	1,8	81	14	3,4
13/08/2023	9	2,2	156	11	4,1
14/08/2023	7	2,1	15	11	4
15/08/2023	8	2,3	10	11	4,8
16/08/2023	9	2,3	9	14	5
17/08/2023	12	2,2	17	17	4,6
18/08/2023	14	1,8	156	19	3,5
19/08/2023	14	1,8	41	17	3,6
20/08/2023	11	1,7	190	14	3,3
21/08/2023	11	1,5	178	15	3
22/08/2023	10	1,6	180	18	2,9
23/08/2023	10	1,6	198	17	3,1
24/08/2023	9	1,7	192	14	3,3
25/08/2023	12	2	45	17	3,9
26/08/2023	13	2,1	336	19	5,3
27/08/2023	4	3,7	307	7	9,7
28/08/2023	2	3	217	4	5,7
29/08/2023	2	2,1	208	4	4,3
30/08/2023	3	2,1	235	5	4,3
31/08/2023	3	2,1	194	6	4,2
01/09/2023	5	2,3	192	8	4,4
02/09/2023	5	2,5	318	8	5,9
03/09/2023	14	5,2	346	18	12,5
04/09/2023	23	4,5	357	35	10,9
05/09/2023	17	2,7	10	30	6,8
06/09/2023	11	1,8	358	21	4,4
07/09/2023	9	1,8	8	14	3,6
08/09/2023	10	1,4	260	13	2,8
09/09/2023	9	1,7	222	11	3,1
10/09/2023	10	1,7	325	11	3,3
11/09/2023	11	1,6	198	14	3,2
12/09/2023	14	1,7	312	21	3,9
13/09/2023	8	2	354	14	4,6
14/09/2023	7	2,3	10	12	5
15/09/2023	6	1,6	345	9	3,9
16/09/2023	8	1,5	6	12	3
17/09/2023	17	1,6	232	28	3,5
18/09/2023	5	2,1	222	11	4,7
19/09/2023	6	1,9	334	13	4,9
20/09/2023	6	1,9	233	10	4
21/09/2023	6	3,1	216	15	7,2
22/09/2023	3	2,4	291	7	5,1
23/09/2023	3	2,3	268	5	4,3
24/09/2023	5	2	215	8	3,9
25/09/2023	7	1,5	308	13	2,8
26/09/2023	6	1,5	257	9	2,9
27/09/2023	9	1,6	217	12	3,1
28/09/2023	8	1,8	259	10	3,4
29/09/2023	15	1,6	211	19	3,2
30/09/2023	14	1,2	218	18	2,3
01/10/2023	9	1,6	356	11	3,6
02/10/2023	12	1,6	347	17	3,7
03/10/2023	15	1,2	5	19	2,6
04/10/2023	11	1,7	215	13	3,3
05/10/2023	13	1,4	236	16	2,8
06/10/2023	17	1,5	238	20	2,8
07/10/2023	17	1,4	226	19	2,7
08/10/2023	16	1,2	246	18	2,5
09/10/2023	15	1,6	241	16	2,9
10/10/2023	12	1,4	234	14	2,6
11/10/2023	14	1,3	238	17	2,5
12/10/2023	16	1,3	236	18	2,4
13/10/2023	16	1,5	249	19	2,8
14/10/2023	14	1,4	283	19	2,9
15/10/2023	10	1,7	212	13	3,3
16/10/2023	14	1,5	315	21	3,1
17/10/2023	16	1,4	305	23	2,9
18/10/2023	6	3,8	205	11	8,6
19/10/2023	6	5,8	187	11	11,1
20/10/2023	2	2,5	219	3	7
21/10/2023	3	1,7	227	4	3,5
22/10/2023	5	1,5	329	8	4
23/10/2023	6	2,6	201	8	5,9
24/10/2023	3	2,7	205	6	7
25/10/2023	4	3,1	203	7	6,7
26/10/2023	3	3	200	7	7,1
27/10/2023	3	1,9	214	7	5,1
28/10/2023	4	2	219	5	5,5
29/10/2023	7	3,1	205	10	5,8
30/10/2023	6	1,8	240	9	5,3
31/10/2023	6	1,2	255	14	2,7
01/11/2023	4	3,4	206	8	7,6
02/11/2023	3	5,1	229	13	14,7
03/11/2023	2	2,9	244	4	9,5
04/11/2023	4	4,4	206	7	11
05/11/2023	4	2,3	225	5	6,7
06/11/2023	5	1,8	303	13	4,1
07/11/2023	5	1,9	294	11	4,2
08/11/2023	8	1,2	235	13	2,7
09/11/2023	8	1,5	333	14	3,5
10/11/2023	9	1,3	251	14	2,9
11/11/2023	5	2	211	7	5,5
12/11/2023	5	2	232	11	4,1
13/11/2023	8	0,9	270	16	2,1
14/11/2023	14	1,1	295	21	2,3
15/11/2023	10	1	243	21	2,2
16/11/2023	16	1,2	221	20	2,3
17/11/2023	11	1,1	347	18	2,4
18/11/2023	19	1,1	241	21	2
19/11/2023	22	0,8	3	22	1,8
20/11/2023	48	1,1	215	52	2,3
21/11/2023	12	2,6	275	20	7,3
22/11/2023	2	3,6	296	6	9,7
23/11/2023	7	1,7	253	16	3,4
24/11/2023	13	1,4	243	28	2,9
25/11/2023	13	1,3	336	22	2,8
26/11/2023	18	1,2	309	24	2,3
27/11/2023	29	1	267	41	2,3
28/11/2023	14	0,9	237	24	2,4
29/11/2023	10	1,3	286	16	3,1
30/11/2023	5	5,6	183	13	10,6
01/12/2023	4	4	202	10	9,4
02/12/2023	3	1,9	237	5	4,3
03/12/2023	6	1,6	258	8	3,3
04/12/2023	12	1,1	282	17	2,9
05/12/2023	7	1,8	254	12	3,6
06/12/2023	11	1,2	276	13	2,3
07/12/2023	24	1,1	243	29	2,3
08/12/2023	7	2,1	280	9	5,8
09/12/2023	8	1,3	258	12	3
10/12/2023	9	1	232	11	2,3
11/12/2023	19	0,9	262	24	1,9
12/12/2023	17	1,1	321	32	3
13/12/2023	7	1,3	263	12	3,3
14/12/2023	2	3,9	289	5	10,6
15/12/2023	7	1,9	262	12	4,3
16/12/2023	7	1,2	284	10	2,5
17/12/2023	12	1,2	301	14	2,5
18/12/2023	15	1,1	280	20	2,2
19/12/2023	17	0,9	277	27	2
20/12/2023	11	4,2	305	21	11
21/12/2023	5	2,7	248	14	6,6
22/12/2023	4	2,2	268	10	5,6
23/12/2023	6	1,6	243	7	3,3
24/12/2023	15	1,1	257	16	2
25/12/2023	17	1,2	273	18	2,2
26/12/2023	17	1,2	279	19	2,1
27/12/2023	20	1,4	263	23	2,4
28/12/2023	30	1	277	34	2
29/12/2023	37	1	295	40	2,2
30/12/2023	30	1,1	300	31	2,1
31/12/2023	13	1,6	231	15	3,9
